Hotel Name,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04
Conrad New York,-1,-1,-1,-1,-1,-1,-1,41,48,50,45,46,36,52,60,-1,-1,-1,41,-1,32,36,41,40,32,31,27,20,27,36,32,24,18,18,20,27,36,30,24,22,22,34,37,37,40,40,38,29,47,-1,50,-1,-1,65,55,73,-1,-1,-1,-1,-1,70,51,70,78,80,-1,-1,91,95,99,97,-1,-1,94,90,51,-1,95,95,90,81,76,54,62,68,62,54,45,47,56,84,100,-1,82,94,85,52,66,69,60,55,50,66,64,77,88,84,71,55,11,44,61,65,66,60,35,30,60,66,-1,59,52,27,4,-1,2,8,10,5,20,47,64,61,84,73,65,57,68,86,85,-1,95,86,72,-1,39,33,-1,-1,34,20,2,3,0,-1,10,1,14,8,15,18,27,18,20,22,30,20,22,-1,18,14,-1,47,-1,-1,-1,-1,-1,58,25,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20,-1,-1,-1,-1,-1,16
W New York Times Square,-1,-1,-1,-1,-1,54,-1,-1,35,41,45,41,43,-1,-1,-1,52,39,29,23,29,-1,-1,29,30,24,20,24,28,25,24,22,18,19,22,20,-1,26,29,12,14,17,-1,18,23,27,24,19,-1,-1,-1,40,52,42,-1,-1,-1,56,58,60,48,41,37,-1,-1,68,86,70,-1,93,100,77,91,73,40,35,49,49,54,-1,-1,-1,-1,-1,-1,-1,49,51,43,-1,35,50,43,53,49,41,37,39,46,37,40,-1,36,30,-1,-1,39,40,36,29,24,25,32,35,35,31,22,18,23,30,33,33,28,19,20,12,11,14,15,16,17,-1,-1,-1,-1,-1,-1,73,-1,-1,-1,-1,60,62,48,36,37,-1,19,22,28,25,21,19,-1,11,12,8,10,28,17,26,46,-1,38,33,-1,7,-1,-1,-1,1,1,2,0,1,2,-1,-1,16,25,30,35,26,19,11,-1,-1,-1,-1,-1,5,5,6,5,5,-1,-1,-1,-1,-1,-1
Hyatt Herald Square New York,-1,-1,-1,-1,-1,-1,43,43,40,-1,47,-1,27,55,47,61,-1,39,-1,22,35,37,23,42,22,26,27,36,28,27,39,27,20,14,16,17,17,17,22,14,16,23,-1,24,29,57,41,49,37,43,41,40,50,42,48,50,60,-1,64,84,77,67,74,80,-1,83,91,93,92,-1,98,100,-1,-1,-1,44,-1,55,56,61,74,61,54,56,59,54,63,62,41,42,41,67,56,54,61,48,41,43,49,42,44,57,42,34,40,43,50,50,50,37,-1,35,31,27,34,30,23,23,28,32,27,34,31,26,16,16,16,13,-1,20,20,20,32,43,50,69,81,69,64,66,-1,57,62,-1,53,41,40,42,23,-1,27,-1,21,17,14,-1,16,11,13,14,22,35,-1,-1,51,38,25,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,9,8,12,9,2,4,-1,2,-1,-1,1,-1,-1,-1,-1,7,-1,4,-1,-1,2
Eventi Hotel a Kimpton Hotel,-1,-1,-1,-1,-1,-1,-1,-1,33,-1,-1,18,-1,-1,-1,-1,-1,-1,10,3,9,-1,17,-1,14,6,4,7,31,-1,-1,21,12,9,-1,-1,-1,-1,10,4,16,6,-1,8,15,25,15,11,16,-1,24,-1,-1,-1,30,52,53,-1,-1,-1,49,28,30,35,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,44,-1,39,-1,52,56,50,72,42,-1,-1,54,-1,-1,37,36,-1,-1,-1,-1,-1,-1,51,36,39,-1,-1,-1,57,-1,-1,-1,-1,47,-1,32,27,-1,-1,-1,-1,-1,27,26,24,-1,-1,-1,-1,-1,18,-1,23,7,-1,-1,-1,-1,-1,-1,-1,-1,62,54,-1,-1,-1,-1,-1,-1,42,41,42,-1,30,26,-1,20,14,-1,-1,-1,-1,-1,2,8,5,-1,39,30,-1,27,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Home2 Suites by Hilton NY Long Island City Manhattan View,54,59,56,51,52,45,38,-1,-1,42,44,36,-1,50,50,-1,33,38,25,-1,-1,-1,-1,56,34,27,-1,-1,-1,44,-1,35,-1,-1,-1,-1,-1,60,61,35,21,24,26,-1,-1,64,-1,-1,-1,-1,-1,-1,78,73,61,56,53,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,98,78,76,-1,60,-1,70,53,-1,51,53,-1,-1,-1,82,68,-1,-1,50,45,40,48,32,-1,-1,38,-1,60,55,-1,-1,35,43,48,43,33,-1,51,27,38,-1,48,33,35,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,21,17,-1,-1,-1,-1,-1,-1,-1,20,24,-1,-1,40,41,45,-1,45,38,-1,-1,43,-1,-1,22,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,26,48,44,46,31,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,5,3,3
Cassa Hotel 45th Street,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,42,41,-1,-1,41,-1,34,30,-1,-1,-1,50,33,29,31,-1,30,-1,37,30,26,23,24,24,-1,-1,25,24,32,39,48,37,-1,59,59,55,54,61,-1,-1,64,62,49,47,49,-1,76,-1,74,88,-1,100,90,-1,94,-1,60,51,52,-1,71,65,73,58,56,55,-1,-1,61,54,52,38,41,-1,50,64,68,48,46,-1,-1,58,49,50,33,54,-1,-1,57,27,35,32,28,29,-1,58,21,31,27,28,48,-1,37,20,19,17,20,18,17,19,20,32,27,35,32,-1,-1,-1,-1,72,69,-1,-1,71,74,56,39,31,-1,-1,35,28,31,26,-1,19,-1,-1,-1,-1,17,-1,45,39,43,36,37,41,18,-1,-1,2,1,0,-1,-1,-1,-1,19,19,17,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,19,17,16,-1,-1,-1,-1,-1,20,19,-1
The St. Regis New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,97,100,87,68,-1,62,75,88,99,98,85,-1,71,78,85,-1,-1,-1,-1,92,92,26,26,18,7,11,6,4,45,56,47,51,66,53,63,72,78,-1,-1,50,66,-1,-1,-1,-1,-1,6,0,25,-1,-1,74,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wyndham Garden Brooklyn Sunset Park,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,43,38,-1,-1,58,64,69,27,25,38,25,36,39,40,39,25,-1,22,22,26,-1,-1,-1,17,-1,58,69,77,66,57,48,37,50,61,52,-1,64,52,61,61,74,-1,78,98,53,69,85,92,100,-1,-1,-1,51,55,58,-1,55,51,51,70,79,86,81,70,57,31,51,55,58,58,55,51,66,55,55,58,58,50,42,42,51,55,48,58,43,37,26,26,26,30,30,26,26,22,19,23,28,28,23,23,-1,19,19,22,22,19,19,11,16,21,41,20,19,19,26,16,26,30,30,26,26,-1,20,26,52,52,18,16,-1,13,25,-1,52,14,13,-1,12,19,23,27,-1,55,62,52,56,62,49,0,10,-1,10,9,9,9,9,10,-1,10,9,9,9,9,10,14,10,9,9,9,9,10,-1,10,9,9,-1,9,11,-1,14,14,17,17
Comfort Inn Times Square South Area,-1,-1,59,-1,-1,-1,-1,47,-1,-1,45,-1,38,49,47,47,55,-1,-1,49,41,45,45,38,33,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,15,35,-1,-1,-1,-1,20,29,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,68,-1,88,-1,-1,-1,-1,-1,86,-1,-1,-1,96,93,82,-1,100,-1,34,40,40,-1,63,-1,-1,-1,62,61,-1,47,56,50,45,43,44,41,43,55,45,-1,34,44,30,41,-1,-1,-1,22,24,17,33,29,21,25,25,-1,11,22,24,20,16,7,14,6,-1,-1,-1,-1,-1,0,16,13,-1,-1,28,25,17,38,47,71,66,61,64,56,40,-1,71,-1,39,34,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,30,40,39,33,77,65,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Best Western Bayside Inn,-1,82,-1,-1,-1,86,78,-1,-1,67,75,82,82,67,56,-1,-1,-1,-1,-1,-1,-1,-1,67,82,-1,-1,-1,-1,-1,-1,56,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,48,86,100,92,84,-1,67,79,75,82,90,69,58,-1,-1,-1,-1,-1,-1,-1,82,67,75,82,-1,-1,-1,47,82,-1,-1,86,-1,-1,-1,56,67,82,-1,53,43,-1,-1,-1,-1,68,53,43,49,36,38,73,64,-1,46,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,50,60,75,50,45,-1,-1,-1,-1,60,68,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,20,-1,9,0,12,-1,29,50,71,-1,-1,-1,-1,62,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wyndham Garden Chinatown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,59,-1,-1,-1,-1,-1,47,43,51,-1,-1,-1,-1,29,30,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,26,37,-1,-1,-1,-1,-1,100,81,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,8,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DoubleTree by Hilton New York City - Chelsea,-1,-1,-1,-1,-1,35,41,47,44,-1,-1,-1,32,42,58,51,-1,47,35,26,29,34,30,32,31,27,26,27,30,30,40,34,20,17,24,32,28,32,24,24,26,29,-1,22,37,45,43,35,43,53,46,50,54,48,36,48,-1,-1,69,66,55,37,42,50,43,55,67,64,84,92,80,94,100,60,46,45,55,57,58,63,64,60,52,45,49,51,-1,-1,58,44,35,41,49,54,-1,-1,-1,-1,45,43,-1,-1,39,38,47,46,42,44,-1,35,31,38,51,38,36,36,32,24,28,30,32,31,-1,21,-1,7,14,4,9,13,13,13,-1,36,41,43,-1,45,49,50,50,40,-1,54,39,28,26,19,11,13,16,-1,10,9,8,1,8,6,10,14,19,15,27,36,27,29,23,28,3,0,-1,-1,-1,-1,-1,-1,-1,6,11,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1
The SunBright,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,97,-1,69,82,93,93,81,68,-1,-1,-1,-1,-1,-1,89,-1,90,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,-1,-1,39,81,93,-1,41,75,56,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,59,78,78,60,40,-1,39,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hilton New York JFK Airport,-1,52,48,96,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,41,-1,11,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,-1,33,37,39,-1,100,88,37,-1,83,-1,91,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,57,70,83,93,-1,61,46,-1,-1,-1,18,36,28,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Shoreham Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,33,38,47,43,-1,-1,-1,60,60,-1,-1,-1,82,82,77,83,89,56,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,76,-1,54,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,54,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,24,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1
W New York - Union Square,-1,-1,-1,-1,-1,45,54,68,-1,72,56,43,39,44,54,57,59,45,33,16,22,32,61,39,28,19,-1,24,48,54,55,41,25,-1,23,32,-1,-1,-1,-1,-1,-1,-1,-1,41,49,-1,-1,36,52,-1,81,90,-1,77,79,-1,-1,98,-1,-1,-1,66,-1,-1,-1,86,-1,77,82,100,-1,-1,-1,-1,67,70,-1,-1,82,82,70,74,69,79,-1,-1,-1,71,57,63,71,-1,82,73,61,61,63,71,-1,73,64,56,53,60,74,-1,82,75,63,63,56,68,74,81,71,58,58,54,64,71,70,58,34,23,-1,-1,7,23,23,23,41,-1,-1,-1,-1,84,76,70,84,85,-1,-1,-1,-1,-1,57,58,-1,-1,49,34,-1,-1,-1,-1,-1,6,7,14,20,35,-1,56,47,27,12,4,0,2,3,2,12,-1,-1,35,-1,-1,23,-1,-1,13,35,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hampton Inn Madison Square Garden Area Hotel,-1,-1,-1,-1,57,46,48,51,77,-1,-1,46,47,47,51,49,51,46,39,34,36,-1,39,46,37,31,29,34,-1,34,37,29,26,23,33,26,31,24,27,19,18,19,-1,21,-1,-1,-1,32,29,35,45,59,66,51,38,45,-1,-1,69,71,60,-1,36,53,63,62,-1,100,94,84,81,66,67,64,53,88,49,50,54,68,59,56,-1,59,57,53,51,52,46,49,46,53,48,50,-1,50,44,52,-1,43,53,-1,-1,-1,-1,-1,-1,-1,49,30,28,33,35,25,37,-1,29,30,29,30,30,36,-1,32,-1,12,15,-1,-1,-1,-1,-1,-1,31,-1,54,66,-1,-1,-1,-1,-1,-1,58,-1,43,-1,-1,-1,-1,-1,-1,16,13,11,-1,0,3,17,36,21,20,34,36,32,27,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,17,19,-1,-1,-1,-1,-1,4,4,5,-1,-1,-1,4,-1,-1,-1,2,2,2,-1,-1
Magnuson Convention Center Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,59,64,60,60,58,47,42,45,50,53,63,64,59,40,60,60,57,59,54,45,46,28,28,25,30,32,28,23,27,29,29,39,59,48,47,52,56,53,61,76,75,76,60,78,77,88,93,90,76,75,86,88,100,-1,-1,91,-1,-1,-1,-1,99,79,70,65,77,80,-1,-1,-1,97,80,76,72,77,86,84,66,65,73,73,83,-1,-1,69,-1,-1,54,69,72,77,69,59,55,51,51,62,65,-1,61,59,58,56,54,-1,40,44,42,43,48,48,-1,34,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,19,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
